"bp","mins_per_week","diet"
77.5670432844064,122.928994335234,"vegetarian"
84.3068396537494,111.431907769293,"vegetarian"
75.2332288763692,65.7554638106376,"vegetarian"
85.6740248331393,90.6262890901417,"vegetarian"
77.4532716155631,100.088194524869,"vegetarian"
102.311139971466,36.1732722260058,"vegetarian"
91.1078135545659,105.926120560616,"vegetarian"
93.9511908035353,15.0551491416991,"vegetarian"
88.2863417129642,55.5511865299195,"vegetarian"
101.396361766719,42.5399038475007,"vegetarian"
78.0730544985601,56.9580961950123,"vegetarian"
78.5933644905002,179.018820589408,"vegetarian"
98.430351738767,89.2470646649599,"vegetarian"
76.9330666873267,155.996977956966,"vegetarian"
81.1649544942412,176.123806973919,"vegetarian"
80.2456722865747,82.6248419005424,"vegetarian"
81.672454353494,12.7616961020976,"vegetarian"
81.5378919868663,67.0974983368069,"vegetarian"
88.4944314194381,144.745189324021,"vegetarian"
82.5514645103089,67.5230666995049,"vegetarian"
78.6795971338919,126.082824496552,"vegetarian"
96.7491591436909,168.122910801321,"vegetarian"
81.1419425851111,171.226332942024,"vegetarian"
82.4217161375108,78.2718562055379,"vegetarian"
83.237104816655,76.0987771209329,"vegetarian"
90.3357722185247,179.089085198939,"vegetarian"
82.9757244329148,128.863152582198,"vegetarian"
83.1415009878971,148.215729743242,"vegetarian"
76.9727883193846,121.060689305887,"vegetarian"
79.9511340545422,180.616322299466,"vegetarian"
85.0141440941468,58.7460310198367,"vegetarian"
78.7285349176266,38.2520219776779,"vegetarian"
88.5420600397173,177.290188660845,"vegetarian"
68.8093802106702,100.667897146195,"vegetarian"
86.3114635218488,175.411508604884,"vegetarian"
69.2571145197402,37.8387244883925,"vegetarian"
80.4740326268599,151.620610477403,"vegetarian"
78.2682031702127,144.899778533727,"vegetarian"
76.5916025566003,188.744963658974,"vegetarian"
83.335739047494,109.529317403212,"vegetarian"
64.4329180077533,142.348773544654,"vegetarian"
95.9880229205338,77.7810199651867,"vegetarian"
68.1485293855146,20.174625236541,"vegetarian"
78.5100918080992,185.460417717695,"vegetarian"
73.2743339489496,56.6465000621974,"vegetarian"
76.3106636704382,118.114631762728,"vegetarian"
105.650944246396,22.0721209887415,"vegetarian"
83.4929421326988,168.101406423375,"vegetarian"
71.50106732677,63.5927368886769,"vegetarian"
67.0282419818351,156.57026739791,"vegetarian"
