"body.size","fitness"
53.995294268243,12
32.6946715987287,0
33.5558047913946,2
43.2007770449854,2
43.3410237939097,4
59.5271058194339,7
22.9792015673593,0
44.2155818385072,4
41.0181389702484,2
27.0637377444655,2
22.3938726983033,0
67.676137147937,11
46.4837162336335,4
62.106569185853,3
66.3450352312066,13
21.089350041002,4
43.5277902451344,1
35.9482711809687,4
61.3792165578343,6
38.6688260175288,2
39.8193393065594,2
52.0703134988435,4
36.6986752068624,1
31.8851395323873,1
43.3336300356314,1
59.9655255372636,5
32.9997128155082,5
36.93330736598,1
59.0992645989172,12
51.3723113038577,4
33.1729721440934,2
34.5655965199694,3
31.1413632286713,2
58.5829988750629,6
36.7679462465458,1
28.4651436423883,0
37.9353578598239,5
62.1686758869328,8
36.5214324486442,1
64.5991560583934,12
20.7597645511851,0
68.7400828278624,12
28.6440769839101,2
35.9766335156746,4
63.7954040477052,8
69.5125219109468,14
20.111945415847,0
61.8272281531245,7
52.7739883447066,7
45.6283346679993,2
40.2633029897697,4
66.9612119020894,11
25.318316060584,1
28.5404422366992,0
28.5049143526703,1
41.7552456771955,1
34.637285808567,2
32.0612758677453,1
54.0203624218702,6
24.165637481492,0
48.1094429898076,2
67.6817574817687,6
22.6126550976187,1
34.9747803690843,2
38.0763154290617,4
49.1754265665077,4
60.1667502359487,6
31.4053869969212,3
24.0894977515563,0
32.7777067245916,1
21.9266747753136,1
22.9441591352224,3
57.9670602851547,11
64.2064466769807,8
48.5565257887356,5
56.2000999855809,7
29.3103910097852,2
38.8028555130586,1
68.6429602024145,9
29.286968910601,1
55.1689514820464,6
38.5981120215729,2
66.6190289589576,4
56.1920030904002,6
46.1511217802763,1
60.3532338212244,7
58.2777342339978,6
38.7540374230593,1
53.2322315662168,4
24.9143921700306,3
44.4949252693914,4
37.0317107462324,1
69.8335655312985,16
29.9202062934637,2
42.8048718417995,2
69.6731762657873,15
25.0495741306804,1
34.5345679367892,1
27.1182430023327,0
45.8801909047179,3
