"body.size","fitness","parasite.load"
53.995294268243,1,2
32.6946715987287,1,6
33.5558047913946,0,5
43.2007770449854,1,6
43.3410237939097,0,7
59.5271058194339,3,6
22.9792015673593,0,1
44.2155818385072,1,3
41.0181389702484,1,6
27.0637377444655,0,5
22.3938726983033,1,6
67.676137147937,3,5
46.4837162336335,5,4
62.106569185853,2,8
66.3450352312066,5,4
21.089350041002,2,7
43.5277902451344,5,4
35.9482711809687,1,4
61.3792165578343,3,3
38.6688260175288,3,3
39.8193393065594,3,4
52.0703134988435,6,4
36.6986752068624,6,3
31.8851395323873,4,1
43.3336300356314,2,3
59.9655255372636,2,7
32.9997128155082,0,5
36.93330736598,1,8
59.0992645989172,3,7
51.3723113038577,3,2
33.1729721440934,3,5
34.5655965199694,2,4
31.1413632286713,0,4
58.5829988750629,4,5
36.7679462465458,4,3
28.4651436423883,1,6
37.9353578598239,4,3
62.1686758869328,7,3
36.5214324486442,1,11
64.5991560583934,7,7
20.7597645511851,0,5
68.7400828278624,12,6
28.6440769839101,0,4
35.9766335156746,1,6
63.7954040477052,5,4
69.5125219109468,8,5
20.111945415847,1,6
61.8272281531245,5,5
52.7739883447066,8,3
45.6283346679993,2,7
40.2633029897697,2,2
66.9612119020894,5,4
25.318316060584,0,6
28.5404422366992,2,5
28.5049143526703,0,3
41.7552456771955,5,5
34.637285808567,1,5
32.0612758677453,5,6
54.0203624218702,3,3
24.165637481492,1,7
48.1094429898076,2,7
67.6817574817687,9,2
22.6126550976187,0,4
34.9747803690843,1,1
38.0763154290617,0,3
49.1754265665077,3,6
60.1667502359487,4,4
31.4053869969212,0,5
24.0894977515563,2,2
32.7777067245916,1,5
21.9266747753136,1,2
22.9441591352224,0,8
57.9670602851547,7,1
64.2064466769807,4,7
48.5565257887356,3,2
56.2000999855809,5,5
29.3103910097852,1,4
38.8028555130586,2,2
68.6429602024145,4,4
29.286968910601,0,6
55.1689514820464,2,8
38.5981120215729,1,5
66.6190289589576,8,3
56.1920030904002,1,5
46.1511217802763,6,3
60.3532338212244,0,8
58.2777342339978,7,4
38.7540374230593,2,4
53.2322315662168,3,3
24.9143921700306,1,8
44.4949252693914,3,3
37.0317107462324,4,8
69.8335655312985,6,3
29.9202062934637,3,3
42.8048718417995,4,2
69.6731762657873,10,5
25.0495741306804,2,4
34.5345679367892,3,1
27.1182430023327,3,4
45.8801909047179,2,6
